game_tag,timestamp,inning,half,event,mlb_event,market_type,market_label,market_ticker,entry_price,sell_target,predicted_delta,ev_per_contract,contracts,budget,pnl_per_contract,filled,pnl
823403 SD@PIT,2026-04-08T16:38:23.155Z,1,top,OUT,Flyout,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.47,0.4855,0.0258,0.0155,619,291.2,0.0155,True,9.59
823403 SD@PIT,2026-04-08T16:38:23.155Z,1,top,OUT,Flyout,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR081235SDPIT-PIT2,0.31,0.3211,0.0185,0.0111,673,208.8,0.01,False,6.73
823403 SD@PIT,2026-04-08T16:39:37.741Z,1,top,OUT,Pop Out,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.5,0.5106,0.0177,0.0106,1000,500.0,0.0106,True,10.6
823403 SD@PIT,2026-04-08T16:42:33.356Z,1,bot,OUT,Flyout,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.53,0.514,-0.0267,0.016,500,265.41,0.016,True,8.0
823403 SD@PIT,2026-04-08T16:42:33.356Z,1,bot,OUT,Flyout,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR081235SDPIT-PIT2,0.34,0.3258,-0.0236,0.0142,689,234.59,0.0142,True,9.78
823403 SD@PIT,2026-04-08T16:44:33.225Z,1,bot,OUT,Pop Out,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.53,0.5179,-0.0202,0.0121,515,272.97,0.0121,True,6.23
823403 SD@PIT,2026-04-08T16:44:33.225Z,1,bot,OUT,Pop Out,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR081235SDPIT-PIT2,0.35,0.3399,-0.0168,0.0101,648,227.03,0.0101,True,6.54
823403 SD@PIT,2026-04-08T16:45:18.919Z,1,bot,BB,Walk,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.51,0.521,0.0184,0.011,980,500.0,0.011,True,10.78
823403 SD@PIT,2026-04-08T16:51:49.704Z,2,top,2B,Double,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.49,0.4597,-0.0505,0.0303,500,245.15,0.0303,True,15.15
823403 SD@PIT,2026-04-08T16:51:49.704Z,2,top,2B,Double,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR081235SDPIT-PIT2,0.26,0.2285,-0.0525,0.0315,980,254.85,-0.02,False,-19.6
823403 SD@PIT,2026-04-08T16:52:25.415Z,2,top,OUT,Lineout,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.49,0.5039,0.0232,0.0139,559,274.23,-0.01,False,-5.59
823403 SD@PIT,2026-04-08T16:52:25.415Z,2,top,OUT,Lineout,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR081235SDPIT-PIT2,0.26,0.2715,0.0191,0.0115,868,225.77,0.0115,True,9.98
823403 SD@PIT,2026-04-08T16:53:36.364Z,2,top,OUT,Groundout,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.48,0.497,0.0284,0.017,552,265.42,0.0171,True,9.44
823403 SD@PIT,2026-04-08T16:53:36.364Z,2,top,OUT,Groundout,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR081235SDPIT-PIT2,0.28,0.2951,0.0251,0.0151,837,234.58,0.0,False,0.0
823403 SD@PIT,2026-04-08T16:57:42.833Z,2,bot,2B,Double,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.54,0.5756,0.0594,0.0356,430,232.58,0.0356,True,15.31
823403 SD@PIT,2026-04-08T16:57:42.833Z,2,bot,2B,Double,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR081235SDPIT-PIT2,0.34,0.381,0.0683,0.041,786,267.42,0.041,True,32.23
823403 SD@PIT,2026-04-08T16:58:59.466Z,2,bot,OUT,Flyout,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.56,0.5445,-0.0258,0.0155,450,252.45,0.0,False,0.0
823403 SD@PIT,2026-04-08T16:58:59.466Z,2,bot,OUT,Flyout,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR081235SDPIT-PIT2,0.35,0.3348,-0.0253,0.0152,707,247.55,0.02,False,14.14
823403 SD@PIT,2026-04-08T17:00:07.118Z,2,bot,OUT,Fielders Choice,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.58,0.5681,-0.0198,0.0119,450,261.21,0.0119,True,5.36
823403 SD@PIT,2026-04-08T17:00:07.118Z,2,bot,OUT,Fielders Choice,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR081235SDPIT-PIT2,0.38,0.3691,-0.0181,0.0109,628,238.79,0.0109,True,6.85
823403 SD@PIT,2026-04-08T17:02:18.344Z,2,bot,K,Strikeout,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.59,0.5781,-0.0198,0.0119,442,261.21,0.0119,True,5.26
823403 SD@PIT,2026-04-08T17:02:18.344Z,2,bot,K,Strikeout,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR081235SDPIT-PIT2,0.39,0.3791,-0.0181,0.0109,612,238.79,0.0109,True,6.67
823403 SD@PIT,2026-04-08T17:09:01.971Z,3,top,OUT,Groundout,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.51,0.5228,0.0213,0.0128,509,259.76,0.0128,True,6.52
823403 SD@PIT,2026-04-08T17:09:01.971Z,3,top,OUT,Groundout,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR081235SDPIT-PIT2,0.28,0.2918,0.0197,0.0118,858,240.24,0.0,False,0.0
823403 SD@PIT,2026-04-08T17:14:44.630Z,3,bot,2B,Double,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.55,0.5971,0.0785,0.0471,467,257.04,0.0471,True,22.0
823403 SD@PIT,2026-04-08T17:14:44.630Z,3,bot,2B,Double,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR081235SDPIT-PIT2,0.31,0.3545,0.0742,0.0445,783,242.96,0.0445,True,34.84
823403 SD@PIT,2026-04-08T17:16:18.993Z,3,bot,OUT,Lineout,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.6,0.5842,-0.0263,0.0158,407,244.42,0.0158,True,6.43
823403 SD@PIT,2026-04-08T17:16:18.993Z,3,bot,OUT,Lineout,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR081235SDPIT-PIT2,0.36,0.3435,-0.0275,0.0165,709,255.58,0.01,False,7.09
