game_tag,timestamp,inning,half,event,mlb_event,market_type,market_label,market_ticker,entry_price,sell_target,predicted_delta,ev_per_contract,contracts,budget,pnl_per_contract,filled,pnl
823403 SD@PIT,2026-04-08T16:38:23.155Z,1,top,OUT,Flyout,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.47,0.4855,0.0258,0.0155,1063,500.0,0.0155,True,16.48
823403 SD@PIT,2026-04-08T16:39:37.741Z,1,top,OUT,Pop Out,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.5,0.5106,0.0177,0.0106,1000,500.0,0.0106,True,10.6
823403 SD@PIT,2026-04-08T16:42:33.356Z,1,bot,OUT,Flyout,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.53,0.514,-0.0267,0.016,943,500.0,0.016,True,15.09
823403 SD@PIT,2026-04-08T16:44:33.225Z,1,bot,OUT,Pop Out,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.53,0.5179,-0.0202,0.0121,943,500.0,0.0121,True,11.41
823403 SD@PIT,2026-04-08T16:45:18.919Z,1,bot,BB,Walk,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.51,0.521,0.0184,0.011,980,500.0,0.011,True,10.78
823403 SD@PIT,2026-04-08T16:51:49.704Z,2,top,2B,Double,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR081235SDPIT-PIT2,0.26,0.2285,-0.0525,0.0315,1923,500.0,-0.02,False,-38.46
823403 SD@PIT,2026-04-08T16:52:25.415Z,2,top,OUT,Lineout,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.49,0.5039,0.0232,0.0139,1020,500.0,-0.01,False,-10.2
823403 SD@PIT,2026-04-08T16:53:36.364Z,2,top,OUT,Groundout,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.48,0.497,0.0284,0.017,1041,500.0,0.0171,True,17.8
823403 SD@PIT,2026-04-08T16:57:42.833Z,2,bot,2B,Double,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR081235SDPIT-PIT2,0.34,0.381,0.0683,0.041,1470,500.0,0.041,True,60.27
823403 SD@PIT,2026-04-08T16:58:59.466Z,2,bot,OUT,Flyout,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.56,0.5445,-0.0258,0.0155,892,500.0,0.0,False,0.0
823403 SD@PIT,2026-04-08T17:00:07.118Z,2,bot,OUT,Fielders Choice,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.58,0.5681,-0.0198,0.0119,862,500.0,0.0119,True,10.26
823403 SD@PIT,2026-04-08T17:02:18.344Z,2,bot,K,Strikeout,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.59,0.5781,-0.0198,0.0119,847,500.0,0.0119,True,10.08
823403 SD@PIT,2026-04-08T17:09:01.971Z,3,top,OUT,Groundout,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.51,0.5228,0.0213,0.0128,980,500.0,0.0128,True,12.54
823403 SD@PIT,2026-04-08T17:14:44.630Z,3,bot,2B,Double,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.55,0.5971,0.0785,0.0471,909,500.0,0.0471,True,42.81
823403 SD@PIT,2026-04-08T17:16:18.993Z,3,bot,OUT,Lineout,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR081235SDPIT-PIT2,0.36,0.3435,-0.0275,0.0165,1388,500.0,0.01,False,13.88
823403 SD@PIT,2026-04-08T17:18:02.665Z,3,bot,BB,Walk,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.59,0.6137,0.0395,0.0237,847,500.0,0.0237,True,20.07
823403 SD@PIT,2026-04-08T17:20:30.436Z,3,bot,DP,Grounded Into DP,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.6,0.5587,-0.0688,0.0413,833,500.0,0.0413,True,34.4
823403 SD@PIT,2026-04-08T17:24:05.227Z,4,top,OUT,Lineout,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.5,0.5192,0.032,0.0192,1000,500.0,0.0192,True,19.2
823403 SD@PIT,2026-04-08T17:24:57.888Z,4,top,OUT,Pop Out,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.51,0.5257,0.0262,0.0157,980,500.0,0.0157,True,15.39
823403 SD@PIT,2026-04-08T17:29:54.060Z,4,bot,BB,Walk,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR081235SDPIT-PIT2,0.31,0.3395,0.0492,0.0295,1612,500.0,0.0295,True,47.55
823403 SD@PIT,2026-04-08T17:31:20.418Z,4,bot,OUT,Lineout,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.58,0.5618,-0.0304,0.0182,862,500.0,0.0182,True,15.69
823403 SD@PIT,2026-04-08T17:32:30.443Z,4,bot,DP,Grounded Into DP,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR081235SDPIT-PIT2,0.34,0.2986,-0.069,0.0414,1470,500.0,0.0414,True,60.86
823403 SD@PIT,2026-04-08T17:37:25.118Z,5,top,OUT,Pop Out,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.5,0.5179,0.0298,0.0179,1000,500.0,0.0179,True,17.9
823403 SD@PIT,2026-04-08T17:38:15.029Z,5,top,1B,Single,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.57,0.5455,-0.0409,0.0245,877,500.0,0.0245,True,21.49
823403 SD@PIT,2026-04-08T17:39:17.854Z,5,top,BB,Walk,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.52,0.4963,-0.0395,0.0237,961,500.0,0.0237,True,22.78
823403 SD@PIT,2026-04-08T17:42:20.289Z,5,top,K,Strikeout,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.46,0.4739,0.0232,0.0139,1086,500.0,0.0139,True,15.1
823403 SD@PIT,2026-04-08T17:47:15.005Z,5,bot,OUT,Flyout,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR081235SDPIT-PIT2,0.29,0.2697,-0.0339,0.0203,1724,500.0,0.0203,True,35.0
823403 SD@PIT,2026-04-08T17:48:44.768Z,5,bot,K,Strikeout,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR081235SDPIT-PIT2,0.26,0.2454,-0.0243,0.0146,1923,500.0,0.0146,True,28.08
823403 SD@PIT,2026-04-08T17:51:29.637Z,5,bot,K,Strikeout,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.55,0.5394,-0.0176,0.0106,909,500.0,0.0106,True,9.64
823403 SD@PIT,2026-04-08T17:55:17.333Z,6,top,1B,Single,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.51,0.4812,-0.048,0.0288,980,500.0,0.0288,True,28.22
823403 SD@PIT,2026-04-08T17:56:13.024Z,6,top,K,Strikeout,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.46,0.4876,0.046,0.0276,1086,500.0,-0.01,False,-10.86
823403 SD@PIT,2026-04-08T17:59:24.003Z,6,top,OUT,Pop Out,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.48,0.511,0.0516,0.031,1041,500.0,0.031,True,32.27
823403 SD@PIT,2026-04-08T18:02:22.247Z,6,top,OUT,Lineout,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.49,0.5009,0.0182,0.0109,1020,500.0,0.0109,True,11.12
823403 SD@PIT,2026-04-08T18:05:35.312Z,6,bot,K,Strikeout,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR081235SDPIT-PIT2,0.24,0.2168,-0.0386,0.0232,2083,500.0,0.02,False,41.66
823403 SD@PIT,2026-04-08T18:06:58.651Z,6,bot,OUT,Groundout,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR081235SDPIT-PIT2,0.26,0.2434,-0.0277,0.0166,1923,500.0,0.0166,True,31.92
823403 SD@PIT,2026-04-08T18:08:53.085Z,6,bot,OUT,Flyout,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.53,0.5171,-0.0215,0.0129,943,500.0,0.0129,True,12.16
823403 SD@PIT,2026-04-08T18:11:57.298Z,7,top,1B,Field Error,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.51,0.4766,-0.0556,0.0334,980,500.0,0.0334,True,32.73
823403 SD@PIT,2026-04-08T18:12:42.349Z,7,top,2B,Double,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.49,0.3859,-0.1735,0.1041,1020,500.0,0.1041,True,106.18
823403 SD@PIT,2026-04-08T18:14:38.131Z,7,top,2B,Double,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.41,0.3117,-0.1638,0.0983,1219,500.0,0.0983,True,119.83
823403 SD@PIT,2026-04-08T18:16:06.340Z,7,top,OUT,Groundout,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR081235SDPIT-SD2,0.74,0.758,0.03,0.018,675,500.0,0.018,True,12.15
823403 SD@PIT,2026-04-08T18:17:37.237Z,7,top,HR,Home Run,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR081235SDPIT-SD2,0.66,0.5362,-0.2064,0.1238,757,500.0,0.1238,True,93.72
823403 SD@PIT,2026-04-08T18:19:37.299Z,7,top,K,Strikeout,spread,SPR -3.5 (dynamic),KXMLBSPREAD-26APR081235SDPIT-SD4,0.24,0.2535,0.0225,0.0135,2083,500.0,-0.36,False,-749.88
823403 SD@PIT,2026-04-08T18:25:20.707Z,7,bot,1B,Single,spread,SPR -3.5 (dynamic),KXMLBSPREAD-26APR081235SDPIT-SD4,0.61,0.6563,0.0771,0.0463,819,500.0,0.0463,True,37.92
823403 SD@PIT,2026-04-08T18:25:47.039Z,7,bot,2B,Double,spread,SPR -3.5 (dynamic),KXMLBSPREAD-26APR081235SDPIT-SD4,0.6,0.7325,0.2209,0.1325,833,500.0,0.1325,True,110.37
823403 SD@PIT,2026-04-08T18:30:02.929Z,7,bot,OUT,Sac Fly,moneyline,ML PIT,KXMLBGAME-26APR081235SDPIT-PIT,0.16,0.1286,-0.0523,0.0314,3125,500.0,0.0314,True,98.12
